Home Team,Away Team
Borussia Mönchengladbach,Bayer 04 Leverkusen
1. FSV Mainz 05,1. FC Union Berlin
FC Augsburg,SV Werder Bremen
SC Freiburg,VfB Stuttgart
TSG 1899 Hoffenheim,Holstein Kiel
RB Leipzig,VfL Bochum 1848
Borussia Dortmund,Eintracht Frankfurt
VfL Wolfsburg,FC Bayern München
FC St. Pauli 1910,1. FC Heidenheim 1846
1. FC Union Berlin,FC St. Pauli 1910
Holstein Kiel,VfL Wolfsburg
VfL Bochum 1848,Borussia Mönchengladbach
SV Werder Bremen,Borussia Dortmund
Eintracht Frankfurt,TSG 1899 Hoffenheim
VfB Stuttgart,1. FSV Mainz 05
Bayer 04 Leverkusen,RB Leipzig
1. FC Heidenheim 1846,FC Augsburg
FC Bayern München,SC Freiburg
Borussia Dortmund,1. FC Heidenheim 1846
Borussia Mönchengladbach,VfB Stuttgart
VfL Wolfsburg,Eintracht Frankfurt
SC Freiburg,VfL Bochum 1848
TSG 1899 Hoffenheim,Bayer 04 Leverkusen
RB Leipzig,1. FC Union Berlin
Holstein Kiel,FC Bayern München
FC Augsburg,FC St. Pauli 1910
1. FSV Mainz 05,SV Werder Bremen
FC Augsburg,1. FSV Mainz 05
VfL Bochum 1848,Holstein Kiel
1. FC Union Berlin,TSG 1899 Hoffenheim
SV Werder Bremen,FC Bayern München
1. FC Heidenheim 1846,SC Freiburg
Eintracht Frankfurt,Borussia Mönchengladbach
Bayer 04 Leverkusen,VfL Wolfsburg
VfB Stuttgart,Borussia Dortmund
FC St. Pauli 1910,RB Leipzig
Borussia Dortmund,VfL Bochum 1848
Borussia Mönchengladbach,1. FC Union Berlin
1. FSV Mainz 05,1. FC Heidenheim 1846
VfL Wolfsburg,VfB Stuttgart
SC Freiburg,FC St. Pauli 1910
RB Leipzig,FC Augsburg
FC Bayern München,Bayer 04 Leverkusen
Holstein Kiel,Eintracht Frankfurt
TSG 1899 Hoffenheim,SV Werder Bremen
FC Augsburg,Borussia Mönchengladbach
VfL Bochum 1848,VfL Wolfsburg
1. FC Union Berlin,Borussia Dortmund
SV Werder Bremen,SC Freiburg
Bayer 04 Leverkusen,Holstein Kiel
FC St. Pauli 1910,1. FSV Mainz 05
1. FC Heidenheim 1846,RB Leipzig
Eintracht Frankfurt,FC Bayern München
VfB Stuttgart,TSG 1899 Hoffenheim
Borussia Dortmund,FC St. Pauli 1910
