Home Team,Away Team
Havre Athletic Club,Paris Saint-Germain FC
Stade Brestois 29,Olympique de Marseille
Stade de Reims,Lille OSC
AS Monaco FC,AS Saint-Étienne
AJ Auxerre,OGC Nice
Angers SCO,RC Racing Club de Lens
Montpellier HSC,RC Strasbourg Alsace
Toulouse FC,FC Nantes
Stade Rennais FC 1901,Olympique Lyonnais
Paris Saint-Germain FC,Montpellier HSC
Lille OSC,Angers SCO
AS Saint-Étienne,Havre Athletic Club
Olympique Lyonnais,AS Monaco FC
RC Racing Club de Lens,Stade Brestois 29
FC Nantes,AJ Auxerre
OGC Nice,Toulouse FC
RC Strasbourg Alsace,Stade Rennais FC 1901
Olympique de Marseille,Stade de Reims
Olympique Lyonnais,RC Strasbourg Alsace
Stade Brestois 29,AS Saint-Étienne
Montpellier HSC,FC Nantes
Toulouse FC,Olympique de Marseille
AS Monaco FC,RC Racing Club de Lens
Angers SCO,OGC Nice
Havre Athletic Club,AJ Auxerre
Stade de Reims,Stade Rennais FC 1901
Lille OSC,Paris Saint-Germain FC
AS Saint-Étienne,Lille OSC
Olympique de Marseille,OGC Nice
AJ Auxerre,AS Monaco FC
Paris Saint-Germain FC,Stade Brestois 29
Stade Rennais FC 1901,Montpellier HSC
FC Nantes,Stade de Reims
RC Strasbourg Alsace,Angers SCO
Toulouse FC,Havre Athletic Club
RC Racing Club de Lens,Olympique Lyonnais
OGC Nice,AS Saint-Étienne
Lille OSC,RC Strasbourg Alsace
Stade Rennais FC 1901,RC Racing Club de Lens
Stade de Reims,Paris Saint-Germain FC
AS Monaco FC,Havre Athletic Club
Angers SCO,FC Nantes
Stade Brestois 29,Toulouse FC
Montpellier HSC,AJ Auxerre
Olympique Lyonnais,Olympique de Marseille
AJ Auxerre,Stade Brestois 29
Paris Saint-Germain FC,Stade Rennais FC 1901
RC Racing Club de Lens,OGC Nice
Havre Athletic Club,Lille OSC
AS Monaco FC,Montpellier HSC
Toulouse FC,Olympique Lyonnais
Angers SCO,Stade de Reims
FC Nantes,AS Saint-Étienne
RC Strasbourg Alsace,Olympique de Marseille
Olympique de Marseille,Angers SCO
AS Saint-Étienne,AJ Auxerre
Lille OSC,Toulouse FC
Stade Rennais FC 1901,AS Monaco FC
Olympique Lyonnais,FC Nantes
Stade Brestois 29,Havre Athletic Club
Stade de Reims,Montpellier HSC
RC Strasbourg Alsace,RC Racing Club de Lens
OGC Nice,Paris Saint-Germain FC
AS Monaco FC,Lille OSC
Stade Brestois 29,Stade Rennais FC 1901
AS Saint-Étienne,RC Racing Club de Lens
Paris Saint-Germain FC,RC Strasbourg Alsace
Havre Athletic Club,Olympique Lyonnais
AJ Auxerre,Stade de Reims
FC Nantes,OGC Nice
Toulouse FC,Angers SCO
Montpellier HSC,Olympique de Marseille
Stade Rennais FC 1901,Havre Athletic Club
Angers SCO,AS Saint-Étienne
Stade de Reims,Stade Brestois 29
RC Racing Club de Lens,Lille OSC
Olympique Lyonnais,AJ Auxerre
Montpellier HSC,Toulouse FC
OGC Nice,AS Monaco FC
RC Strasbourg Alsace,FC Nantes
Olympique de Marseille,Paris Saint-Germain FC
AS Monaco FC,Angers SCO
Lille OSC,Olympique Lyonnais
Paris Saint-Germain FC,RC Racing Club de Lens
Stade Brestois 29,OGC Nice
AS Saint-Étienne,RC Strasbourg Alsace
Toulouse FC,Stade de Reims
AJ Auxerre,Stade Rennais FC 1901
Havre Athletic Club,Montpellier HSC
FC Nantes,Olympique de Marseille
Olympique de Marseille,AJ Auxerre
RC Strasbourg Alsace,AS Monaco FC
RC Racing Club de Lens,FC Nantes
Angers SCO,Paris Saint-Germain FC
OGC Nice,Lille OSC
Havre Athletic Club,Stade de Reims
Montpellier HSC,Stade Brestois 29
Stade Rennais FC 1901,Toulouse FC
Olympique Lyonnais,AS Saint-Étienne
AS Monaco FC,Stade Brestois 29
Paris Saint-Germain FC,Toulouse FC
RC Racing Club de Lens,Olympique de Marseille
AS Saint-Étienne,Montpellier HSC
Stade de Reims,Olympique Lyonnais
Lille OSC,Stade Rennais FC 1901
AJ Auxerre,Angers SCO
FC Nantes,Havre Athletic Club
OGC Nice,RC Strasbourg Alsace
Stade de Reims,RC Racing Club de Lens
Stade Rennais FC 1901,AS Saint-Étienne
Stade Brestois 29,RC Strasbourg Alsace
Paris Saint-Germain FC,FC Nantes
Montpellier HSC,Lille OSC
Havre Athletic Club,Angers SCO
Olympique Lyonnais,OGC Nice
Toulouse FC,AJ Auxerre
Olympique de Marseille,AS Monaco FC
Lille OSC,Stade Brestois 29
AJ Auxerre,Paris Saint-Germain FC
AS Monaco FC,Toulouse FC
OGC Nice,Havre Athletic Club
Angers SCO,Olympique Lyonnais
RC Racing Club de Lens,Montpellier HSC
FC Nantes,Stade Rennais FC 1901
RC Strasbourg Alsace,Stade de Reims
AS Saint-Étienne,Olympique de Marseille
Toulouse FC,AS Saint-Étienne
Olympique de Marseille,Lille OSC
AJ Auxerre,RC Racing Club de Lens
Stade de Reims,AS Monaco FC
Montpellier HSC,OGC Nice
Stade Brestois 29,FC Nantes
Havre Athletic Club,RC Strasbourg Alsace
Stade Rennais FC 1901,Angers SCO
Paris Saint-Germain FC,Olympique Lyonnais
AS Monaco FC,Paris Saint-Germain FC
OGC Nice,Stade Rennais FC 1901
AS Saint-Étienne,Stade de Reims
Lille OSC,FC Nantes
Olympique Lyonnais,Montpellier HSC
Angers SCO,Stade Brestois 29
RC Racing Club de Lens,Toulouse FC
RC Strasbourg Alsace,AJ Auxerre
Olympique de Marseille,Havre Athletic Club
FC Nantes,AS Monaco FC
AJ Auxerre,Lille OSC
Stade Brestois 29,Olympique Lyonnais
Stade de Reims,OGC Nice
Stade Rennais FC 1901,Olympique de Marseille
Havre Athletic Club,RC Racing Club de Lens
Montpellier HSC,Angers SCO
Toulouse FC,RC Strasbourg Alsace
Paris Saint-Germain FC,AS Saint-Étienne
Montpellier HSC,AS Monaco FC
Lille OSC,OGC Nice
RC Racing Club de Lens,Paris Saint-Germain FC
Stade Rennais FC 1901,Stade Brestois 29
Olympique Lyonnais,Toulouse FC
AS Saint-Étienne,FC Nantes
Angers SCO,AJ Auxerre
Stade de Reims,Havre Athletic Club
Olympique de Marseille,RC Strasbourg Alsace
AJ Auxerre,AS Saint-Étienne
AS Monaco FC,Stade Rennais FC 1901
RC Strasbourg Alsace,Lille OSC
Paris Saint-Germain FC,Stade de Reims
Havre Athletic Club,Stade Brestois 29
RC Racing Club de Lens,Angers SCO
FC Nantes,Olympique Lyonnais
Toulouse FC,Montpellier HSC
OGC Nice,Olympique de Marseille
Montpellier HSC,RC Racing Club de Lens
Stade Brestois 29,Paris Saint-Germain FC
AS Monaco FC,AJ Auxerre
Lille OSC,AS Saint-Étienne
Toulouse FC,OGC Nice
Angers SCO,Havre Athletic Club
Stade de Reims,FC Nantes
Stade Rennais FC 1901,RC Strasbourg Alsace
Olympique de Marseille,Olympique Lyonnais
FC Nantes,Stade Brestois 29
Paris Saint-Germain FC,AS Monaco FC
OGC Nice,RC Racing Club de Lens
Lille OSC,Havre Athletic Club
AS Saint-Étienne,Stade Rennais FC 1901
Olympique Lyonnais,Stade de Reims
AJ Auxerre,Toulouse FC
RC Strasbourg Alsace,Montpellier HSC
Angers SCO,Olympique de Marseille
Stade Brestois 29,AJ Auxerre
Olympique de Marseille,AS Saint-Étienne
AS Monaco FC,FC Nantes
Toulouse FC,Paris Saint-Germain FC
Montpellier HSC,Olympique Lyonnais
Havre Athletic Club,OGC Nice
RC Racing Club de Lens,RC Strasbourg Alsace
Stade de Reims,Angers SCO
Stade Rennais FC 1901,Lille OSC
Stade Rennais FC 1901,Stade de Reims
Lille OSC,AS Monaco FC
AS Saint-Étienne,Angers SCO
AJ Auxerre,Olympique de Marseille
FC Nantes,RC Racing Club de Lens
Havre Athletic Club,Toulouse FC
OGC Nice,Montpellier HSC
RC Strasbourg Alsace,Stade Brestois 29
Olympique Lyonnais,Paris Saint-Germain FC
AS Monaco FC,Stade de Reims
AS Saint-Étienne,OGC Nice
RC Racing Club de Lens,Havre Athletic Club
Paris Saint-Germain FC,Lille OSC
Olympique Lyonnais,Stade Brestois 29
Angers SCO,Toulouse FC
AJ Auxerre,RC Strasbourg Alsace
Montpellier HSC,Stade Rennais FC 1901
Olympique de Marseille,FC Nantes
Toulouse FC,AS Monaco FC
Stade Rennais FC 1901,Paris Saint-Germain FC
Lille OSC,Montpellier HSC
Olympique de Marseille,RC Racing Club de Lens
Stade Brestois 29,Angers SCO
Havre Athletic Club,AS Saint-Étienne
FC Nantes,RC Strasbourg Alsace
Stade de Reims,AJ Auxerre
OGC Nice,Olympique Lyonnais
OGC Nice,AJ Auxerre
FC Nantes,Lille OSC
Angers SCO,AS Monaco FC
RC Racing Club de Lens,Stade Rennais FC 1901
Olympique Lyonnais,Havre Athletic Club
Stade Brestois 29,Stade de Reims
Montpellier HSC,AS Saint-Étienne
RC Strasbourg Alsace,Toulouse FC
Paris Saint-Germain FC,Olympique de Marseille
RC Strasbourg Alsace,Olympique Lyonnais
Stade de Reims,Olympique de Marseille
AS Saint-Étienne,Paris Saint-Germain FC
AS Monaco FC,OGC Nice
Toulouse FC,Stade Brestois 29
Angers SCO,Stade Rennais FC 1901
AJ Auxerre,Montpellier HSC
Havre Athletic Club,FC Nantes
Lille OSC,RC Racing Club de Lens
OGC Nice,FC Nantes
Paris Saint-Germain FC,Angers SCO
Stade Brestois 29,AS Monaco FC
Olympique Lyonnais,Lille OSC
RC Racing Club de Lens,AS Saint-Étienne
Montpellier HSC,Havre Athletic Club
Stade de Reims,RC Strasbourg Alsace
Stade Rennais FC 1901,AJ Auxerre
Olympique de Marseille,Toulouse FC
RC Racing Club de Lens,Stade de Reims
AS Monaco FC,Olympique de Marseille
Toulouse FC,Lille OSC
RC Strasbourg Alsace,OGC Nice
AS Saint-Étienne,Stade Brestois 29
Angers SCO,Montpellier HSC
Havre Athletic Club,Stade Rennais FC 1901
AJ Auxerre,Olympique Lyonnais
FC Nantes,Paris Saint-Germain FC
Stade Rennais FC 1901,FC Nantes
Paris Saint-Germain FC,Havre Athletic Club
AS Monaco FC,RC Strasbourg Alsace
Olympique de Marseille,Montpellier HSC
Lille OSC,AJ Auxerre
Stade Brestois 29,RC Racing Club de Lens
OGC Nice,Angers SCO
Stade de Reims,Toulouse FC
AS Saint-Étienne,Olympique Lyonnais
Paris Saint-Germain FC,OGC Nice
RC Strasbourg Alsace,AS Saint-Étienne
Havre Athletic Club,AS Monaco FC
Olympique Lyonnais,Stade Rennais FC 1901
Angers SCO,Lille OSC
RC Racing Club de Lens,AJ Auxerre
Montpellier HSC,Stade de Reims
FC Nantes,Toulouse FC
Olympique de Marseille,Stade Brestois 29
OGC Nice,Stade de Reims
RC Strasbourg Alsace,Paris Saint-Germain FC
Toulouse FC,Stade Rennais FC 1901
AS Saint-Étienne,AS Monaco FC
FC Nantes,Angers SCO
