Home Team,Away Team
Genoa CFC,FC Internazionale Milano
Parma Calcio 1913,ACF Fiorentina
Empoli FC,AC Monza
AC Milan,Torino FC
Bologna FC 1909,Udinese Calcio
Hellas Verona FC,SSC Napoli
Cagliari Calcio,AS Roma
SS Lazio,Venezia FC
US Lecce,Atalanta BC
Juventus FC,Como 1907
Parma Calcio 1913,AC Milan
Udinese Calcio,SS Lazio
FC Internazionale Milano,US Lecce
AC Monza,Genoa CFC
Torino FC,Atalanta BC
ACF Fiorentina,Venezia FC
SSC Napoli,Bologna FC 1909
AS Roma,Empoli FC
Cagliari Calcio,Como 1907
Hellas Verona FC,Juventus FC
Venezia FC,Torino FC
FC Internazionale Milano,Atalanta BC
Bologna FC 1909,Empoli FC
US Lecce,Cagliari Calcio
SS Lazio,AC Milan
SSC Napoli,Parma Calcio 1913
ACF Fiorentina,AC Monza
Genoa CFC,Hellas Verona FC
Juventus FC,AS Roma
Udinese Calcio,Como 1907
Como 1907,Bologna FC 1909
Empoli FC,Juventus FC
AC Milan,Venezia FC
Genoa CFC,AS Roma
Atalanta BC,ACF Fiorentina
Torino FC,US Lecce
Cagliari Calcio,SSC Napoli
AC Monza,FC Internazionale Milano
Parma Calcio 1913,Udinese Calcio
SS Lazio,Hellas Verona FC
Cagliari Calcio,Empoli FC
Hellas Verona FC,Torino FC
Venezia FC,Genoa CFC
Juventus FC,SSC Napoli
US Lecce,Parma Calcio 1913
ACF Fiorentina,SS Lazio
AC Monza,Bologna FC 1909
AS Roma,Udinese Calcio
FC Internazionale Milano,AC Milan
Atalanta BC,Como 1907
AC Milan,US Lecce
Udinese Calcio,FC Internazionale Milano
Genoa CFC,Juventus FC
Bologna FC 1909,Atalanta BC
Torino FC,SS Lazio
AS Roma,Venezia FC
Como 1907,Hellas Verona FC
Empoli FC,ACF Fiorentina
SSC Napoli,AC Monza
Parma Calcio 1913,Cagliari Calcio
SSC Napoli,Como 1907
Hellas Verona FC,Venezia FC
Udinese Calcio,US Lecce
Atalanta BC,Genoa CFC
FC Internazionale Milano,Torino FC
Juventus FC,Cagliari Calcio
Bologna FC 1909,Parma Calcio 1913
SS Lazio,Empoli FC
AC Monza,AS Roma
ACF Fiorentina,AC Milan
Como 1907,Parma Calcio 1913
Genoa CFC,Bologna FC 1909
AC Milan,Udinese Calcio
Juventus FC,SS Lazio
Empoli FC,SSC Napoli
US Lecce,ACF Fiorentina
Venezia FC,Atalanta BC
Cagliari Calcio,Torino FC
AS Roma,FC Internazionale Milano
Hellas Verona FC,AC Monza
Udinese Calcio,Cagliari Calcio
Torino FC,Como 1907
SSC Napoli,US Lecce
Atalanta BC,Hellas Verona FC
Parma Calcio 1913,Empoli FC
SS Lazio,Genoa CFC
AC Monza,Venezia FC
FC Internazionale Milano,Juventus FC
ACF Fiorentina,AS Roma
Bologna FC 1909,AC Milan
Cagliari Calcio,Bologna FC 1909
US Lecce,Hellas Verona FC
AC Milan,SSC Napoli
Empoli FC,FC Internazionale Milano
Venezia FC,Udinese Calcio
Atalanta BC,AC Monza
Juventus FC,Parma Calcio 1913
Genoa CFC,ACF Fiorentina
Como 1907,SS Lazio
AS Roma,Torino FC
Bologna FC 1909,US Lecce
Udinese Calcio,Juventus FC
AC Monza,AC Milan
SSC Napoli,Atalanta BC
Torino FC,ACF Fiorentina
Hellas Verona FC,AS Roma
FC Internazionale Milano,Venezia FC
Empoli FC,Como 1907
Parma Calcio 1913,Genoa CFC
SS Lazio,Cagliari Calcio
Genoa CFC,Como 1907
US Lecce,Empoli FC
Venezia FC,Parma Calcio 1913
Cagliari Calcio,AC Milan
Juventus FC,Torino FC
Atalanta BC,Udinese Calcio
ACF Fiorentina,Hellas Verona FC
AS Roma,Bologna FC 1909
AC Monza,SS Lazio
FC Internazionale Milano,SSC Napoli
Hellas Verona FC,FC Internazionale Milano
AC Milan,Juventus FC
Parma Calcio 1913,Atalanta BC
Genoa CFC,Cagliari Calcio
Como 1907,ACF Fiorentina
Torino FC,AC Monza
SSC Napoli,AS Roma
SS Lazio,Bologna FC 1909
Empoli FC,Udinese Calcio
Venezia FC,US Lecce
Cagliari Calcio,Hellas Verona FC
Como 1907,AC Monza
AC Milan,Empoli FC
Bologna FC 1909,Venezia FC
Udinese Calcio,Genoa CFC
Parma Calcio 1913,SS Lazio
Torino FC,SSC Napoli
US Lecce,Juventus FC
AS Roma,Atalanta BC
ACF Fiorentina,FC Internazionale Milano
FC Internazionale Milano,Parma Calcio 1913
Atalanta BC,AC Milan
Genoa CFC,Torino FC
Juventus FC,Bologna FC 1909
AS Roma,US Lecce
ACF Fiorentina,Cagliari Calcio
Hellas Verona FC,Empoli FC
Venezia FC,Como 1907
SSC Napoli,SS Lazio
AC Monza,Udinese Calcio
Empoli FC,Torino FC
Cagliari Calcio,Atalanta BC
Udinese Calcio,SSC Napoli
Juventus FC,Venezia FC
US Lecce,AC Monza
Bologna FC 1909,ACF Fiorentina
Parma Calcio 1913,Hellas Verona FC
Como 1907,AS Roma
AC Milan,Genoa CFC
SS Lazio,FC Internazionale Milano
Hellas Verona FC,AC Milan
Torino FC,Bologna FC 1909
Genoa CFC,SSC Napoli
US Lecce,SS Lazio
AS Roma,Parma Calcio 1913
Venezia FC,Cagliari Calcio
Atalanta BC,Empoli FC
AC Monza,Juventus FC
ACF Fiorentina,Udinese Calcio
FC Internazionale Milano,Como 1907
Empoli FC,Genoa CFC
Parma Calcio 1913,AC Monza
Cagliari Calcio,FC Internazionale Milano
SS Lazio,Atalanta BC
Udinese Calcio,Torino FC
SSC Napoli,Venezia FC
Juventus FC,ACF Fiorentina
AC Milan,AS Roma
Como 1907,US Lecce
Bologna FC 1909,Hellas Verona FC
Venezia FC,Empoli FC
ACF Fiorentina,SSC Napoli
Hellas Verona FC,Udinese Calcio
AC Monza,Cagliari Calcio
US Lecce,Genoa CFC
Torino FC,Parma Calcio 1913
AS Roma,SS Lazio
Como 1907,AC Milan
Atalanta BC,Juventus FC
FC Internazionale Milano,Bologna FC 1909
SS Lazio,Como 1907
Empoli FC,US Lecce
Udinese Calcio,Atalanta BC
Torino FC,Juventus FC
AC Milan,Cagliari Calcio
Genoa CFC,Parma Calcio 1913
Venezia FC,FC Internazionale Milano
Bologna FC 1909,AS Roma
SSC Napoli,Hellas Verona FC
AC Monza,ACF Fiorentina
AS Roma,Genoa CFC
Bologna FC 1909,AC Monza
Juventus FC,AC Milan
Atalanta BC,SSC Napoli
ACF Fiorentina,Torino FC
